name,positive,negative,neutral
Banarasi Tadka,8,18,0
Banashankari Donne Biriyani,0,0,0
Banashankari Nati Style,0,2,0
Banchharam,6,0,0
Bang - The Ritz-Carlton,16,0,2
Bangali Babu Restaurant,1,0,0
Bangaliana,27,9,2
Bangalore Agarwal Bhavan,10,10,0
Bangalore Bytes,42,15,3
Bangalore Cafe,3,6,0
Bangalore Cakes,14,8,2
Bangalore Donne Biriyani,0,0,0
Bangalore Durbar Fast Food,2,0,1
Bangalore Mandarin,88,5,7
Bangalore Masala House,40,0,0
Bangalore Pub Exchange,107,0,9
Bangalore Shadi Biriyani,4,0,0
Bangalore Star Biriyani,0,0,0
Bangarpet Chat Express,2,0,0
Bangarpet Chats,4,0,0
Banjara Melting Pot,36,4,0
Bansuri Sweets,4,0,2
Bao and Rolls,10,4,0
Bar UNO - JW Marriott Bengaluru,19,1,0
Barbeque Delight,27,0,5
Barbeque Nation,138,14,0
Barbeque Station,0,9,0
Barcode,12,0,3
Barista,27,1,0
Barkaas,19,1,0
Barkat,0,0,0
Basaveshwara Kanawali,6,1,0
Basawa Hotel,2,0,0
Baskin Robbins,84,60,7
Basmati Delights,10,0,2
Basmati Restaurant,4,5,0
Basveshwara Khaanavali,6,1,0
Bat Chef,2,2,0
Bathinda Dine,67,4,9
Bathinda Junction,46,3,0
Bathinda Tandoor,0,0,1
Batter Splatter,8,0,0
Bawarchi,25,11,4
Bawarchi Biryani,2,0,0
Bawarchi Khaana,5,14,1
Bawarchi Restaurant,2,14,4
Bay Root,14,2,0
Bazaar - Zone By The Park,33,7,0
Bazaar- Zone By The Park,0,0,0
Bean Flickers,18,0,3
Bearfoot Cafe,10,1,0
Bearys Restaurant,6,0,0
Beer Adda,64,16,0
Begin with us....Tea Time Cafe,10,0,2
Begum's Biriyani,0,0,0
Behrouz Biryani,80,4,0
Beijing Bites,88,33,11
Bekal,12,6,2
BelgYum,9,0,0
Belgian Waffle Factory,26,0,0
Bella,10,4,0
Bellandur Kitchen,7,0,0
Belly Deli,10,6,4
Bengali Fun Foods,12,0,0
Bengaluru Baking Company - JW Marriott Bengaluru,28,2,0
Bengaluru House,8,2,0
Bengaluru Restaurant,10,2,2
Bengaluru Square,2,0,0
Benjarong,25,5,0
Benzys,3,1,0
Berry'd Alive,6,1,2
Berrylicious Cafe,88,0,0
Best In Klass,13,22,5
Bettaiah Military Hotel,1,0,0
Bewiched,6,0,0
Beyond Elements,8,1,0
Bflat Bar,2,0,2
Bhagatram Sweets,8,4,0
Bhagini IRIS,6,0,2
Bhagini Icon Boutique Hotel,0,4,0
Bhagini Kitchen And Bar,4,2,0
Bhaijaan Barbeques,12,0,0
Bhaiya Ji Food Court,30,8,0
Bhaiyajees,10,1,1
Bhaiyaji Food Court,12,0,0
Bhajanka's Restaurant,7,1,0
Bhandary's Kitchen,8,2,0
Bharanis,6,0,0
Bharat Kitchen,36,0,0
Bharathi Dosa Camp,4,0,0
Bharatkhana,4,0,0
Bharpur Aahar,10,2,2
Bhartiya Jalpan,34,6,0
Bhavani Chats,6,0,0
Bhavani Chats N Juice,6,0,0
Bhavani Sri,5,4,3
Bhavani Upahara,2,1,0
Bheema's,45,3,6
Bhikaram Chandmal Bhujiawala,33,21,3
Bhojanam Restaurant,2,0,0
Bhojohori Manna,19,5,0
Bhojon Tripti,4,8,3
Bhookha Sher,2,0,0
Bhukkad,4,2,0
Bhukkads,13,7,0
Bhukkhad Baba,3,3,0
Big Apple Restaurant,0,0,0
Big Bites,7,4,1
Big Bowl Theory,1,1,0
Big Mama,0,0,0
Big Mishra Pedha,3,2,0
Big Pitcher,16,4,0
Big Wong XL,19,1,0
Biggies Burger 'n' More,91,25,4
Bihar Ki Shan,0,4,0
Bikaner Jn,8,0,0
Bikaneri Sweets,7,3,1
Billionaires Cafe,3,3,0
Bindu Garden Bar & Restaurant,24,14,2
Birinz,34,4,0
Biriyani Angadi,2,0,0
Biriyani Bhatti,24,0,0
Biriyani Bungalow,0,0,0
Biriyani House,4,2,1
Biriyani Mane,6,0,0
Biriyani Paradise,10,6,0
Biriyani Zone,62,2,4
Biriyaniz,2,6,0
Biryani & Kabab,0,1,0
Biryani Affair,0,0,0
Biryani Bazar,4,2,0
Biryani Club,28,12,0
Biryani Darbar,10,6,0
Biryani Day,8,2,1
Biryani Factory,2,4,0
Biryani Feast,6,12,2
Biryani Foodies,3,6,0
Biryani House,1,2,0
Biryani Junction,4,8,0
Biryani Khazana,2,0,0
Biryani Kitchen,28,0,2
Biryani Knights,22,0,0
Biryani Lakhnawi,18,0,2
Biryani Magic,39,18,3
Biryani Mandra,6,0,0
Biryani Miya,15,4,0
Biryani Nights,24,3,0
Biryani Palace,14,1,0
Biryani Paradise,3,1,0
Biryani Park,10,8,2
Biryani Point,0,0,0
Biryani Pot,6,6,0
Biryani Spot,4,0,0
Biryani@Bangalore,13,7,0
Bisimillah Biriyani,12,0,0
Bisimillah Biriyani's & Kebab's,0,0,0
Bismillah Ambur Biryani,6,0,0
Bismillah Bawarchi,18,6,0
Bistro Claytopia,14,6,0
Bistro Oui,57,14,0
Bite Me Cupcakes,28,0,0
Bite Sip Repeat,4,0,0
Bites 2 Binge,2,0,0
Black Cup Cafe,58,0,0
Black Kitchen,1,0,1
Black Rock Cafe,20,4,0
Blistering Barnacles,18,0,0
Blk Plus Wht,36,0,0
Bloomsbury's Global Kitchen & Bakehouse,18,1,1
Blue Bar - The Taj West End,18,2,0
Blue Berry Restaurant,17,5,0
Blue Ginger - The Taj West End,13,2,0
Bob's Bar,18,2,0
Bob's Restaurant,4,0,0
Bobacha,4,0,0
Body Temple,9,3,0
Bohra Bohra CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,8,0,0
Bollywood Grill,1,0,0
Bombay Adda,0,0,0
Bombay Chowpaty Kulfi,1,0,0
Bombay Food Express,10,1,0
Bombay Kulfi,21,6,5
Bombay Kulfis,16,4,0
Bombay Sandwich Company,40,17,4
Bombay Talkies,7,2,0
Bon Sante,36,18,6
Bonfooder,1,0,0
BongHomie,7,0,0
Bonsouth,60,0,0
Bonum cibum,77,3,0
Book My Cakes,0,0,0
Boondock Bistro,15,3,2
Bootlegger,57,8,0
Borah's Kitchen,12,3,0
Boston Barista - Kappayum Curriyum,3,3,0
Bottle & Glass,20,16,4
Bottle Breacher,34,6,0
Bowl N Biryani,0,1,1
Bowlful,3,2,0
Bowring Kulfi,3,0,1
